x_mm,old_unwrapped_rad,new_unwrapped_rad,old_minus_new_rad,reference_candidate_rad,fitted_old_minus_new_rad,residual_rad
-4.565000000000000308e-02,5.789337807179586015e+00,1.565044600000000008e+00,4.224293207179585785e+00,-1.306649817279831893e+01,1.579150173363780052e+00,-1.468216987987602806e-07
-4.560000000000000164e-02,5.817886307179586325e+00,1.565043399999999973e+00,4.252842907179585907e+00,-1.303794974860000622e+01,1.579124162242843576e+00,-2.206854166075800094e-08
-4.555000000000000021e-02,5.846403707179586462e+00,1.565042199999999939e+00,4.281361507179586745e+00,-1.300943235241358487e+01,1.579098021662344253e+00,3.194752906665598857e-08
-4.549999999999999878e-02,5.874890007179586426e+00,1.565040999999999904e+00,4.309849007179586522e+00,-1.298094598508102315e+01,1.579071753545798762e+00,1.606850830171424604e-08
-4.544999999999999735e-02,5.903345407179585891e+00,1.565039999999999987e+00,4.338305407179586126e+00,-1.295249064744289669e+01,1.579045359806822590e+00,-6.886498660207962530e-08
-4.540000000000000285e-02,5.931769707179586071e+00,1.565039000000000069e+00,4.366730707179586446e+00,-1.292406634033838841e+01,1.579018842349057206e+00,-2.220137398367683090e-07
-4.535000000000000142e-02,5.960163007179586359e+00,1.565037999999999929e+00,4.395125007179586873e+00,-1.289567306460667950e+01,1.578992203066102329e+00,-3.425385379784984252e-07
-4.529999999999999999e-02,5.988525307179585866e+00,1.565037000000000011e+00,4.423488307179585632e+00,-1.286731082108555491e+01,1.578965443841445992e+00,-4.296015685412157836e-07
-4.524999999999999856e-02,6.016856507179586089e+00,1.565036000000000094e+00,4.451820507179585995e+00,-1.283897961061280313e+01,1.578938566548401701e+00,-5.823649971148370241e-07
-4.519999999999999712e-02,6.045156707179586419e+00,1.565034800000000059e+00,4.480121907179586138e+00,-1.281067943402341491e+01,1.578911573050042483e+00,-4.999938054695007850e-07
-4.515000000000000263e-02,6.073425807179586577e+00,1.565033600000000025e+00,4.508392207179586109e+00,-1.278241029215378610e+01,1.578884465199142495e+00,-4.816515639660678971e-07
-4.510000000000000120e-02,6.101664007179586235e+00,1.565032399999999990e+00,4.536631607179586467e+00,-1.275417218583751477e+01,1.578857244838116403e+00,-3.265046446543351522e-07
-4.504999999999999977e-02,6.129871007179586329e+00,1.565031199999999956e+00,4.564839807179586373e+00,-1.272596511590820256e+01,1.578829913798962981e+00,-3.337194041108659803e-07
-4.499999999999999833e-02,6.158047107179585922e+00,1.565029999999999921e+00,4.593017107179585778e+00,-1.269778908319944932e+01,1.578802473903209380e+00,-2.024622149932042703e-07
-4.494999999999999690e-02,6.186192097179586291e+00,1.565028799999999887e+00,4.621163297179586849e+00,-1.266964408854136792e+01,1.578774926961860281e+00,-1.419029267424321006e-07
-4.490000000000000241e-02,6.214306067179586002e+00,1.565027599999999852e+00,4.649278467179586372e+00,-1.264153013276616377e+01,1.578747274775343712e+00,-6.120930429176496546e-08
-4.485000000000000098e-02,6.242388997179586063e+00,1.565026400000000040e+00,4.677362597179586245e+00,-1.261344721670255531e+01,1.578719519133465088e+00,2.044740199380612466e-08
-4.479999999999999954e-02,6.270440887179586475e+00,1.565025200000000005e+00,4.705415687179586470e+00,-1.258539534118134995e+01,1.578691661815358582e+00,1.038980412815249110e-07
-4.474999999999999811e-02,6.298461737179586351e+00,1.565023999999999971e+00,4.733437737179586158e+00,-1.255737450702917535e+01,1.578663704589441830e+00,1.899692687601373109e-07
-4.469999999999999668e-02,6.326451537179586637e+00,1.565023000000000053e+00,4.761428537179586584e+00,-1.252938471507405183e+01,1.578635649213373293e+00,6.948914066384759280e-08
-4.465000000000000219e-02,6.354410297179586387e+00,1.565021999999999913e+00,4.789388297179586473e+00,-1.250142596614190538e+01,1.578607497434010520e+00,-4.671638986764037327e-08
-4.460000000000000075e-02,6.382338017179586487e+00,1.565020999999999995e+00,4.817317017179586713e+00,-1.247349826105866200e+01,1.578579250987371285e+00,-1.578213542074990983e-07
-4.454999999999999932e-02,6.410234707179585989e+00,1.565019999999999856e+00,4.845214707179586355e+00,-1.244560160064885679e+01,1.578550911598593398e+00,-2.530011888879357684e-07
-4.449999999999999789e-02,6.438100307179586146e+00,1.565018999999999938e+00,4.873081307179585764e+00,-1.241773598573701953e+01,1.578522480981901621e+00,-3.914313309039130218e-07
-4.445000000000000340e-02,6.465934907179586411e+00,1.565017799999999903e+00,4.900917107179586729e+00,-1.238990141714489290e+01,1.578493960840571919e+00,-2.822900055932109353e-07
-4.440000000000000197e-02,6.493738407179586503e+00,1.565016599999999869e+00,4.928721807179586634e+00,-1.236209789569421957e+01,1.578465352866898597e+00,-2.247554338197232937e-07
-4.435000000000000053e-02,6.521510907179585814e+00,1.565015400000000056e+00,4.956495507179585758e+00,-1.233432542220743677e+01,1.578436658742164544e+00,-1.180051469873433234e-07
-4.429999999999999910e-02,6.549252407179586122e+00,1.565014200000000022e+00,4.984238207179585878e+00,-1.230658399750349652e+01,1.578407880136610375e+00,3.877984067202078222e-08
-4.424999999999999767e-02,6.576962707179585976e+00,1.565012999999999987e+00,5.011949707179585545e+00,-1.227887362240344515e+01,1.578379018709409998e+00,4.642060336124131936e-08
-4.420000000000000318e-02,6.604642107179586219e+00,1.565012000000000070e+00,5.039630107179585927e+00,-1.225119429772274415e+01,1.578350076108641309e+00,5.732645469436192798e-09
-4.415000000000000174e-02,6.632290407179586289e+00,1.565010999999999930e+00,5.067279407179586137e+00,-1.222354602428174175e+01,1.578321053971263765e+00,-8.246365812425437980e-08
-4.410000000000000031e-02,6.659907607179586186e+00,1.565010000000000012e+00,5.094897607179586174e+00,-1.219592880289590120e+01,1.578291953923096402e+00,-2.173528104165711738e-07
-4.404999999999999888e-02,6.687493807179586192e+00,1.565008999999999872e+00,5.122484807179586319e+00,-1.216834263438138208e+01,1.578262777578795406e+00,-2.981186231210131155e-07
-4.399999999999999745e-02,6.715048907179586024e+00,1.565007999999999955e+00,5.150040907179586291e+00,-1.214078751955225499e+01,1.578233526541834575e+00,-4.239469841849086151e-07
-4.395000000000000295e-02,6.742573007179585964e+00,1.565006799999999920e+00,5.177566207179586044e+00,-1.211326345922328507e+01,1.578204202404489775e+00,-2.940231000891913027e-07
-4.390000000000000152e-02,6.770066007179586620e+00,1.565005599999999886e+00,5.205060407179586512e+00,-1.208577045420784302e+01,1.578174806747818737e+00,-2.075335663320743151e-07
-4.385000000000000009e-02,6.797528007179586496e+00,1.565004400000000073e+00,5.232523607179586200e+00,-1.205830850531651066e+01,1.578145341141649727e+00,-6.366777061117545600e-08
