x_mm,wrapped_rad,unwrapped_rad,poly4_fit_rad,poly4_residual_rad,poly6_fit_rad,poly6_residual_rad,higher_model_fit_rad,higher_model_residual_rad
4.374999999999999722e-02,1.565002000000000004e+00,1.565002000000000004e+00,1.564892124180239596e+00,1.098758197604077225e-04,1.565021895356198067e+00,-1.989535619806304112e-05,1.566730137853520777e+00,-1.728137853520772538e-03
4.399999999999999745e-02,1.565007999999999955e+00,1.565007999999999955e+00,1.564898448364867800e+00,1.095516351321546011e-04,1.565026518369619479e+00,-1.851836961952457727e-05,1.566730448454777935e+00,-1.722448454777980587e-03
4.424999999999999767e-02,1.565012999999999987e+00,1.565012999999999987e+00,1.564904808352761689e+00,1.081916472382982164e-04,1.565031171332708748e+00,-1.817133270876070128e-05,1.566730764818794919e+00,-1.717764818794931259e-03
4.449999999999999789e-02,1.565018999999999938e+00,1.565018999999999938e+00,1.564911204139453504e+00,1.077958605464335307e-04,1.565035854304165808e+00,-1.685430416586974900e-05,1.566731087011626222e+00,-1.712087011626284294e-03
4.474999999999999811e-02,1.565023999999999971e+00,1.565023999999999971e+00,1.564917635720450395e+00,1.063642795495756133e-04,1.565040567342935951e+00,-1.656734293598027818e-05,1.566731415099713365e+00,-1.707415099713394113e-03
4.499999999999999833e-02,1.565029999999999921e+00,1.565029999999999921e+00,1.564924103091233976e+00,1.058969087659455965e-04,1.565045310508207610e+00,-1.531050820768875553e-05,1.566731749149886221e+00,-1.701749149886300216e-03
4.524999999999999856e-02,1.565036000000000094e+00,1.565036000000000094e+00,1.564930606247259437e+00,1.053937527406567654e-04,1.565050083859411023e+00,-1.408385941092937799e-05,1.566732089229362357e+00,-1.696089229362263140e-03
4.549999999999999878e-02,1.565040999999999904e+00,1.565040999999999904e+00,1.564937145183956879e+00,1.038548160430252665e-04,1.565054887456216903e+00,-1.388745621699882804e-05,1.566732435405747692e+00,-1.691435405747787613e-03
4.574999999999999900e-02,1.565047000000000077e+00,1.565047000000000077e+00,1.564943719896730423e+00,1.032801032696539778e-04,1.565059721358534439e+00,-1.272135853436218156e-05,1.566732787747037392e+00,-1.685787747037315043e-03
4.599999999999999922e-02,1.565053000000000027e+00,1.565053000000000027e+00,1.564950330380958654e+00,1.026696190413733945e-04,1.565064585626510851e+00,-1.158562651082384320e-05,1.566733146321614312e+00,-1.680146321614284233e-03
4.624999999999999944e-02,1.565058999999999978e+00,1.565058999999999978e+00,1.564956976631994845e+00,1.020233680051330083e-04,1.565069480320528506e+00,-1.048032052852754248e-05,1.566733511198252105e+00,-1.674511198252126576e-03
4.649999999999999967e-02,1.565064999999999928e+00,1.565064999999999928e+00,1.564963658645165623e+00,1.013413548343056192e-04,1.565074405501204025e+00,-9.405501204096111678e-06,1.566733882446112558e+00,-1.668882446112629481e-03
4.674999999999999989e-02,1.565069999999999961e+00,1.565069999999999961e+00,1.564970376415772746e+00,9.962358422721528939e-05,1.565079361229386956e+00,-9.361229386994907031e-06,1.566734260134747592e+00,-1.664260134747630460e-03
4.700000000000000011e-02,1.565075999999999912e+00,1.565075999999999912e+00,1.564977129939091771e+00,9.887006090814054460e-05,1.565084347566157774e+00,-8.347566157862473801e-06,1.566734644334099036e+00,-1.658644334099124151e-03
4.725000000000000033e-02,1.565082000000000084e+00,1.565082000000000084e+00,1.564983919210373386e+00,9.808078962669775080e-05,1.565089364572826547e+00,-7.364572826462634225e-06,1.566735035114499075e+00,-1.653035114498990765e-03
4.750000000000000056e-02,1.565088000000000035e+00,1.565088000000000035e+00,1.564990744224841634e+00,9.725577515840022613e-05,1.565094412310931160e+00,-6.412310931125375646e-06,1.566735432546670026e+00,-1.647432546669991282e-03
4.775000000000000078e-02,1.565093999999999985e+00,1.565093999999999985e+00,1.564997604977695245e+00,9.639502230474050748e-05,1.565099490842235985e+00,-5.490842236000048615e-06,1.566735836701725448e+00,-1.641836701725463143e-03
4.800000000000000100e-02,1.565099999999999936e+00,1.565099999999999936e+00,1.565004501464107411e+00,9.549853589252421671e-05,1.565104600228730103e+00,-4.600228730167188473e-06,1.566736247651169700e+00,-1.636247651169764339e-03
4.825000000000000122e-02,1.565106000000000108e+00,1.565106000000000108e+00,1.565011433679225572e+00,9.456632077453619445e-05,1.565109740532625526e+00,-3.740532625418069301e-06,1.566736665466898604e+00,-1.630665466898495453e-03
4.850000000000000144e-02,1.565112000000000059e+00,1.565112000000000059e+00,1.565018401618171184e+00,9.359838182887436631e-05,1.565114911816356313e+00,-2.911816356254703919e-06,1.566737090221199002e+00,-1.625090221198943752e-03
4.875000000000000167e-02,1.565118999999999927e+00,1.565118999999999927e+00,1.565025405276040615e+00,9.359472395931156541e-05,1.565120114142575902e+00,-1.114142575975307636e-06,1.566737521986750981e+00,-1.618521986751053632e-03
4.900000000000000189e-02,1.565125000000000099e+00,1.565125000000000099e+00,1.565032444647904031e+00,9.255535209606868818e-05,1.565125347574156223e+00,-3.475741561231870946e-07,1.566737960836624977e+00,-1.612960836624877103e-03
4.925000000000000211e-02,1.565131000000000050e+00,1.565131000000000050e+00,1.565039519728806283e+00,9.148027119376678229e-05,1.565130612174185698e+00,3.878258143519275336e-07,1.566738406844285780e+00,-1.607406844285730330e-03
4.950000000000000233e-02,1.565137000000000000e+00,1.565137000000000000e+00,1.565046630513766024e+00,9.036948623397655922e-05,1.565135908005967913e+00,1.091994032087484356e-06,1.566738860083588758e+00,-1.601860083588757533e-03
4.975000000000000255e-02,1.565142999999999951e+00,1.565142999999999951e+00,1.565053776997776591e+00,8.922300222335977082e-05,1.565141235133019837e+00,1.764866980114021544e-06,1.566739320628784293e+00,-1.596320628784342333e-03
5.000000000000000278e-02,1.565150000000000041e+00,1.565150000000000041e+00,1.565060959175805788e+00,8.904082419425307648e-05,1.565146593619070048e+00,3.406380929993346740e-06,1.566739788554515345e+00,-1.589788554515303431e-03
5.025000000000000300e-02,1.565155999999999992e+00,1.565155999999999992e+00,1.565068177042795439e+00,8.782295720455302046e-05,1.565151983528056956e+00,4.016471943035782033e-06,1.566740263935817667e+00,-1.584263935817675772e-03
