x_mm,wrapped_rad,unwrapped_rad,quadratic_fit_rad,quadratic_residual_rad,quartic_fit_rad,quartic_residual_rad
-4.975000000000000255e-02,-2.940326000000000217e+00,3.342859307179586015e+00,3.335684691481676012e+00,7.174615697910002865e-03,3.342866791167852014e+00,-7.483988265999386158e-06
-4.970000000000000112e-02,-2.909235999999999933e+00,3.373949307179586299e+00,3.366857927966963260e+00,7.091379212623039052e-03,3.373956349967910384e+00,-7.042788324085336171e-06
-4.964999999999999969e-02,-2.878176999999999985e+00,3.405008307179586247e+00,3.397999818800677474e+00,7.008488378908772631e-03,3.405014955276236321e+00,-6.648096650074819536e-06
-4.959999999999999826e-02,-2.847148999999999930e+00,3.436036307179586302e+00,3.429110363982838194e+00,6.925943196748107766e-03,3.436042606163248081e+00,-6.298983661778834175e-06
-4.954999999999999682e-02,-2.816152999999999906e+00,3.467032307179586326e+00,3.460189563513425881e+00,6.842743666160444604e-03,3.467039301700273413e+00,-6.994520687086946964e-06
-4.950000000000000233e-02,-2.785187000000000079e+00,3.497998307179586153e+00,3.491237417392451192e+00,6.760889787134960471e-03,3.498005040959597522e+00,-6.733780011369816521e-06
-4.945000000000000090e-02,-2.754252000000000145e+00,3.528933307179586087e+00,3.522253925619919457e+00,6.679381559666630608e-03,3.528939823014436428e+00,-6.515834850340240791e-06
-4.939999999999999947e-02,-2.723348000000000102e+00,3.559837307179586130e+00,3.553239088195818240e+00,6.598218983767889512e-03,3.559843646938933404e+00,-6.339759347273599133e-06
-4.934999999999999803e-02,-2.692473999999999812e+00,3.590711307179586420e+00,3.584192905120159978e+00,6.518402059426442463e-03,3.590716511808174971e+00,-5.204628588550974655e-06
-4.929999999999999660e-02,-2.661631999999999998e+00,3.621553307179586234e+00,3.615115376392930457e+00,6.437930786655776672e-03,3.621558416698178462e+00,-5.109518592227857425e-06
-4.925000000000000211e-02,-2.630821000000000076e+00,3.652364307179586156e+00,3.646006502014138562e+00,6.357805165447594220e-03,3.652369360685897348e+00,-5.053506311192279554e-06
-4.920000000000000068e-02,-2.600041000000000047e+00,3.683144307179586185e+00,3.676866281983793172e+00,6.278025195793013324e-03,3.683149342849237229e+00,-5.035669651043406247e-06
-4.914999999999999925e-02,-2.569291999999999909e+00,3.713893307179586323e+00,3.707694716301872973e+00,6.198590877713350267e-03,3.713898362267009645e+00,-5.055087423322390805e-06
-4.909999999999999781e-02,-2.538572999999999968e+00,3.744612307179586264e+00,3.738491804968397503e+00,6.120502211188760811e-03,3.744616418018988924e+00,-4.110839402660104724e-06
-4.905000000000000332e-02,-2.507886000000000060e+00,3.775299307179586172e+00,3.769257547983354328e+00,6.041759196231843987e-03,3.775303509185860662e+00,-4.202006274489633597e-06
-4.900000000000000189e-02,-2.477230000000000043e+00,3.805955307179586189e+00,3.799991945346745226e+00,5.963361832840963217e-03,3.805959634849266138e+00,-4.327669679948797921e-06
-4.895000000000000046e-02,-2.446604999999999919e+00,3.836580307179586313e+00,3.830694997058579077e+00,5.885310121007236717e-03,3.836584794091780992e+00,-4.486912194678893684e-06
-4.889999999999999902e-02,-2.416009999999999991e+00,3.867175307179586241e+00,3.861366703118843446e+00,5.808604060742794672e-03,3.867178985996897467e+00,-3.678817311225657249e-06
-4.884999999999999759e-02,-2.385447000000000095e+00,3.897738307179586137e+00,3.892007063527554322e+00,5.731243652031814406e-03,3.897742209649074141e+00,-3.902469488004101095e-06
-4.880000000000000310e-02,-2.354913999999999952e+00,3.928271307179586280e+00,3.922616078284690389e+00,5.655228894895891756e-03,3.928274464133668431e+00,-3.156954082150775776e-06
-4.875000000000000167e-02,-2.324412999999999840e+00,3.958772307179586392e+00,3.953193747390264079e+00,5.578559789322312668e-03,3.958775748537002315e+00,-3.441357415923107510e-06
-4.870000000000000023e-02,-2.293941999999999926e+00,3.989243307179586306e+00,3.983740070844284276e+00,5.503236335302030824e-03,3.989246061946332134e+00,-2.754766745827197383e-06
-4.864999999999999880e-02,-2.263503000000000043e+00,4.019682307179586189e+00,4.014255048646731439e+00,5.427258532854750683e-03,4.019685403449821948e+00,-3.096270235758424860e-06
-4.859999999999999737e-02,-2.233093999999999912e+00,4.050091307179586764e+00,4.044738680797623331e+00,5.352626381963432323e-03,4.050093772136614589e+00,-2.464957027825676050e-06
-4.855000000000000288e-02,-2.202716999999999814e+00,4.080468307179586418e+00,4.075190967296943967e+00,5.277339882642451130e-03,4.080471167096742846e+00,-2.859917156428082308e-06
-4.850000000000000144e-02,-2.172369999999999912e+00,4.110815307179586320e+00,4.105611908144700450e+00,5.203399034885869412e-03,4.110817587421207620e+00,-2.280241621299694543e-06
-4.845000000000000001e-02,-2.142053999999999903e+00,4.141131307179586329e+00,4.136001503340903440e+00,5.129803838682889250e-03,4.141133032201945952e+00,-1.725022359622130352e-06
-4.839999999999999858e-02,-2.111769999999999925e+00,4.171415307179586307e+00,4.166359752885535173e+00,5.055554294051134434e-03,4.171417500531802602e+00,-2.193352216295352264e-06
-4.834999999999999715e-02,-2.081516000000000144e+00,4.201669307179585644e+00,4.196686656778611635e+00,4.982650400974009131e-03,4.201670991504590447e+00,-1.684325004802644798e-06
-4.830000000000000265e-02,-2.051292999999999811e+00,4.231892307179586865e+00,4.226982215020115063e+00,4.910092159471801665e-03,4.231893504215028301e+00,-1.197035441435900793e-06
