x_mm,unwrapped_rad,sphere_fit_rad,sphere_residual_rad
-4.410000000000000031e-02,6.659907607179586186e+00,6.659912081856559141e+00,-4.474676972954227949e-06
-4.404999999999999888e-02,6.687493807179586192e+00,6.687543681037068311e+00,-4.987385748211892178e-05
-4.399999999999999745e-02,6.715048907179586024e+00,6.715143931440245240e+00,-9.502426065921554255e-05
-4.395000000000000295e-02,6.742573007179585964e+00,6.742712833170930509e+00,-1.398259913445443203e-04
-4.390000000000000152e-02,6.770066007179586620e+00,6.770250386229120565e+00,-1.843790495339447943e-04
-4.385000000000000009e-02,6.797528007179586496e+00,6.797756590614818961e+00,-2.285834352324656038e-04
-4.379999999999999866e-02,6.824958907179586198e+00,6.825231446380440659e+00,-2.725392008544602618e-04
-4.374999999999999722e-02,6.852358707179586617e+00,6.852674953421152182e+00,-3.162462415655653558e-04
-4.370000000000000273e-02,6.879727507179586254e+00,6.880087111841792336e+00,-3.596046622060811160e-04
-4.365000000000000130e-02,6.907065207179586608e+00,6.907467921642359343e+00,-4.027144627727352599e-04
-4.359999999999999987e-02,6.934371907179586181e+00,6.934817382822853205e+00,-4.454756432670237132e-04
-4.354999999999999843e-02,6.961647507179586469e+00,6.962135495383273920e+00,-4.879882036874505502e-04
-4.349999999999999700e-02,6.988892007179586585e+00,6.989422259323621489e+00,-5.302521440349039494e-04
-4.345000000000000251e-02,7.016105507179585921e+00,7.016677674643895912e+00,-5.721674643099916580e-04
-4.340000000000000108e-02,7.043288007179586252e+00,7.043901741448939546e+00,-6.137342693532943372e-04
-4.334999999999999964e-02,7.070439307179586130e+00,7.071094459633908258e+00,-6.551524543221276531e-04
-4.329999999999999821e-02,7.097559607179586116e+00,7.098255829198805600e+00,-6.962220192194834567e-04
-4.324999999999999678e-02,7.124648807179585930e+00,7.125385850248468600e+00,-7.370430688826701271e-04
-4.320000000000000229e-02,7.151707007179585851e+00,7.152484522730480521e+00,-7.775155508946696159e-04
-4.315000000000000085e-02,7.178734107179586488e+00,7.179551846644837809e+00,-8.177394652513214623e-04
-4.309999999999999942e-02,7.205730107179586064e+00,7.206587822096384599e+00,-8.577149167985353984e-04
-4.304999999999999799e-02,7.232695007179586355e+00,7.233592448927856466e+00,-8.974417482701113613e-04
-4.299999999999999656e-02,7.259628907179585866e+00,7.260565727296517835e+00,-9.368201169319689825e-04
-4.295000000000000207e-02,7.286531307179586747e+00,7.287507657149944862e+00,-9.763499703581146605e-04
-4.290000000000000063e-02,7.313403307179585866e+00,7.314418238540559614e+00,-1.014931360973747587e-03
-4.284999999999999920e-02,7.340244307179585981e+00,7.341297471363517957e+00,-1.053164183931976083e-03
-4.279999999999999777e-02,7.367053307179586064e+00,7.368145355723667578e+00,-1.092048544081514194e-03
-4.275000000000000328e-02,7.393832307179586394e+00,7.394961891621004924e+00,-1.129584441418529650e-03
-4.270000000000000184e-02,7.420579307179586692e+00,7.421747079055528218e+00,-1.167771875941525650e-03
-4.265000000000000041e-02,7.447296307179586350e+00,7.448500918027241013e+00,-1.204610847654663530e-03
-4.259999999999999898e-02,7.473981307179585976e+00,7.475223408536139758e+00,-1.242101356553781955e-03
-4.254999999999999755e-02,7.500635307179585709e+00,7.501914550634646517e+00,-1.279243455060807833e-03
-4.250000000000000305e-02,7.527258307179586438e+00,7.528574344270339225e+00,-1.316037090752786298e-03
-4.245000000000000162e-02,7.553851307179586527e+00,7.555202789495641724e+00,-1.351482316055196975e-03
-4.240000000000000019e-02,7.580411307179586444e+00,7.581799886310550463e+00,-1.388579130964018304e-03
-4.234999999999999876e-02,7.606941307179585721e+00,7.608365634715065440e+00,-1.424327535479719131e-03
-4.229999999999999732e-02,7.633440307179585993e+00,7.634900034761608723e+00,-1.459727582022729564e-03
-4.225000000000000283e-02,7.659908307179586373e+00,7.661403086345339730e+00,-1.494779165753357120e-03
-4.220000000000000140e-02,7.686345307179585973e+00,7.687874789623519334e+00,-1.529482443933360969e-03
-4.214999999999999997e-02,7.712750307179586429e+00,7.714315144491305176e+00,-1.564837311718747515e-03
-4.209999999999999853e-02,7.739125307179586244e+00,7.740724151001117548e+00,-1.598843821531303888e-03
-4.204999999999999710e-02,7.765468307179586027e+00,7.767101809152960001e+00,-1.633501973373974181e-03
-4.200000000000000261e-02,7.791780307179585918e+00,7.793448118946823655e+00,-1.667811767237736831e-03
-4.195000000000000118e-02,7.818062307179586057e+00,7.819763080435141234e+00,-1.700773255555176888e-03
-4.189999999999999974e-02,7.844312307179586163e+00,7.846046693565483565e+00,-1.734386385897401794e-03
-4.184999999999999831e-02,7.870531307179586378e+00,7.872298958390274493e+00,-1.767651210688114816e-03
-4.179999999999999688e-02,7.896719307179585812e+00,7.898519874961934306e+00,-1.800567782348494461e-03
-4.175000000000000239e-02,7.922876307179586242e+00,7.924709443123200359e+00,-1.833135943614117025e-03
-4.170000000000000095e-02,7.949001307179585751e+00,7.950867663083753811e+00,-1.866355904168059965e-03
-4.164999999999999952e-02,7.975096307179586397e+00,7.976994534738755860e+00,-1.898227559169463063e-03
